음 식 명,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),칼륨(mg),인(mg),나트륨(mg),포화지방산(g),콜레스테롤(mg)
비빔국수,100g,113.0,20.94,3.2,1.86,4.31,97.0,43.0,333.0,0.34,7.04
비빔냉면,600ml,90.0,14.53,3.8,1.66,1.37,84.0,50.0,152.0,0.45,16.05
뼈다귀해장국 ,650ml,21.0,0.96,2.7,0.63,0.36,74.0,29.0,108.0,0.2,5.86
뼈해장국,650ml,21.0,0.96,2.7,0.63,0.36,74.0,29.0,108.0,0.2,5.86
산자,30g,366.0,82.17,2.31,3.09,31.35,41.0,29.0,23.0,0.09,0.0
산채비빔밥 ,450g,142.0,18.84,6.86,4.32,0.05,180.0,79.0,232.0,0.95,42.26
삼계탕,900g,101.0,3.84,10.68,4.8,0.45,156.0,105.0,82.0,1.29,48.19
삼선볶음밥,350g,183.0,33.97,5.56,2.76,0.0,99.0,61.0,212.0,1.1,29.28
삼선우동,800ml,71.0,12.76,2.14,1.1,0.23,40.0,22.0,270.0,0.24,0.72
삼선자장면,700g,115.0,18.08,4.81,2.59,1.45,91.0,43.0,375.0,0.58,23.79
삼선짬뽕,800g,58.0,8.26,2.79,1.54,1.57,80.0,36.0,181.0,0.25,10.52
삼치구이,200g,178.0,1.45,21.42,9.57,0.22,220.0,159.0,217.0,2.02,79.38
상추겉절이,150ml,21.0,3.38,0.9,0.69,1.59,154.0,21.0,127.0,0.11,0.0
새우볶음밥,300g,161.0,91.62000000000002,2.6,17.905,1.6,710.655,341.29999999999995,342.0,0.9,127.2
새우초밥,245ml,189.0,28.65,10.0,3.14,2.45,129.0,131.0,394.0,0.9,63.44
새우튀김,117.6,145.0,16.54,7.1,5.52,2.22,105.0,64.0,322.0,0.84,28.44
새우튀김롤,300g,202.0,32.09,4.82,6.06,3.71,77.0,68.0,464.0,1.14,18.62
샐러드김밥,230g,140.0,19.98,4.84,4.55,0.0,118.0,55.0,307.0,1.1,19.3
생선가스,259ml,105.0,5.12,9.0,4.93,0.3,131.0,111.0,372.0,0.85,51.16
생선물회,700g,76.0,7.9,4.91,2.7,2.86,160.0,66.0,299.0,0.4,17.18
생연어,100.0,110.29,1.002,20.908,1.938,0.0,349.6,249.04,213.06,,60.0
선지(해장)국,600ml,27.0,2.15,3.6,0.49,0.45,70.0,17.0,248.0,0.13,0.75
설렁탕,500g,24.0,0.36,4.26,0.58,0.0,23.0,17.0,22.0,0.23,6.97
소갈비찜,750ml,111.0,6.45,5.38,7.08,2.92,135.0,50.0,291.0,2.46,16.23
소고기국밥,809ml,66.0,12.54,2.3,0.56,0.41,46.0,28.0,124.0,0.2,2.7
소고기김밥,230g,140.0,19.98,4.84,4.55,0.0,118.0,55.0,307.0,1.1,19.3
소고기메추리알장조림,50ml,152.0,6.22,14.4,7.12,1.4,249.0,164.0,636.0,2.55,122.98
소고기무국,251.9,23.0,0.53,1.6,1.49,0.17,51.0,18.0,135.0,0.46,5.2
소고기미역국,300ml,21.0,0.92,1.6,1.37,0.02,129.0,18.0,258.0,0.42,4.13
소고기버섯죽,800g,72.0,13.63,2.34,0.93,0.03,52.0,22.0,158.0,0.34,3.26
소고기전골,300g,63.0,0.46,7.89,3.24,0.05,176.0,77.0,299.0,0.69,16.08
소곱창구이,66.20,171.0,3.71,8.8,11.89,2.43,186.0,104.0,296.0,2.84,190.33
소머리국밥,809ml,66.0,12.54,2.3,0.56,0.41,46.0,28.0,124.0,0.2,2.7
소불고기,200g,170.0,4.26,16.41,9.66,3.24,309.0,153.0,418.0,3.26,50.02
소세지볶음,200g,280.0,14.41,11.94,19.38,5.83,158.0,165.0,887.0,5.8,28.41
소양념갈비구이,216ml,298.0,9.01,14.4,21.6,5.25,247.0,111.0,479.0,7.29,53.03
송이덮밥,572ml,93.0,19.64,1.9,0.65,1.27,117.0,36.0,46.0,0.12,0.0
송편,100g,200.0,43.6,5.4,0.4,1.5163000000000002,108.0,62.0,466.0,0.0,0.0
수수부꾸미,100g,248.0,42.1,5.73,6.29,0.24,191.0,111.0,261.0,0.97,0.0
수수팥떡,100g,204.0,43.03,6.7,0.59,2.82,249.0,117.0,242.0,0.16,0.0
수제비,650g,58.0,11.08,2.31,0.52,0.0,106.0,36.0,142.0,0.15,12.85
숙주나물,50g,35.0,2.96,2.22,1.58,1.58,80.0,36.0,403.0,0.12,0.0
순대국,600g,85.0,14.95,2.35,1.75,0.26,65.0,32.0,330.0,0.5,9.67
순대국밥,900g,75.0,10.38,3.17,2.28,0.17,34.0,31.0,126.0,1.26,48.69
순대볶음,150ml,150.0,27.39,2.9,3.19,1.35,69.0,27.0,474.0,1.09,27.34
순두부찌개,150ml,25.0,1.36,3.0,0.84,0.61,108.0,36.0,122.0,0.18,5.06
시금치나물,50g,69.0,3.36,3.74,4.46,0.1,627.0,58.0,136.0,0.4,0.0
시금치된장국,300ml,12.0,1.65,1.0,0.26,0.5,162.0,22.0,178.0,0.05,0.3
시래기된장국,300ml,11.0,1.6,0.7,0.26,0.26,34.0,12.0,166.0,0.04,0.01
시루떡,100g,224.0,48.13,3.77,1.85,0.04,161.0,65.0,195.0,0.11,0.0
쌀국수,800ml,58.0,10.29,2.2,0.87,0.6,118.0,56.0,358.0,0.19,11.76
쌀밥,100g,166.0,37.33,3.36,0.32,0.02,26.0,28.0,0.0,0.1,0.0
쑥갓나물무침,150g,64.0,4.4,3.0,3.8,0.2,256.0,59.0,473.0,0.47,0.03
쑥된장국,280ml,14.0,1.64,1.0,0.47,0.29,84.0,19.0,163.0,0.07,0.3
쑥떡,100g,249.0,57.89,3.36,0.4,10.72,75.0,41.0,254.0,0.2,0.0
아귀찜,200g,84.0,7.26,6.72,3.13,2.73,267.0,109.0,392.0,0.48,51.39
아욱된장국,300ml,12.0,1.89,1.0,0.22,0.2,97.0,22.0,152.0,0.04,0.77
알감자조림,50g,114.0,18.1,2.4,3.52,7.68,401.0,56.0,487.0,0.42,0.0
알밥,330g,128.0,15.75,4.73,5.11,2.3,128.0,61.0,430.0,0.59,45.98
알탕,520g,39.0,1.74,6.37,0.74,0.0,164.0,113.0,250.0,0.16,80.81
야채전,100g,145.0,22.59,3.57,4.5,2.06,173.0,38.0,259.0,0.89,19.62
약과,30g,399.0,84.89,4.2,4.75,16.89,73.0,67.0,57.0,1.22,0.0
약식,100g,220.0,45.24,4.21,2.45,13.24,85.0,43.0,221.0,0.27,0.0
양념게장,200.0,275.55400000000003,46.330000000000005,20.41,2.0580000000000003,26.520000000000003,792.52,283.47,1747.8440000000005,,134.4
양념왕갈비,150.0,485.5065000000001,15.036,29.332500000000003,33.706500000000005,8.352,451.08450000000005,335.2995,533.1929999999999,,103.5
양념치킨,100g,248.0,14.62,21.04,31.146,3.26,381.256,315.664,405.0,2.4,0.06
양배추구이,100.0,60.933,7.621,2.711,2.651,0.8420000000000001,235.389,45.841,242.337,,5.5
양송이버섯볶음,117.5,104.0,5.17,4.5,7.58,2.76,221.0,79.0,215.0,2.31,13.44
양파장아찌,50ml,63.0,16.05,0.6,0.03,15.42,112.0,18.0,6050.0,0.01,0.0
어묵국,350g,31.0,3.83,1.49,1.03,0.07,110.0,25.0,226.0,0.07,2.45
어묵볶음,140g,197.0,24.33,8.41,7.29,6.31,130.0,90.0,818.0,1.32,16.64
어죽,800g,69.0,12.6,2.55,0.94,1.23,86.0,38.0,263.0,0.21,4.43
연어롤 ,300g,170.0,24.77,6.19,5.13,2.82,110.0,76.0,404.0,0.94,20.66
연어초밥,245ml,189.0,28.65,10.0,3.14,2.45,129.0,131.0,394.0,0.9,63.44
연포탕,1000g,54.0,2.02,9.49,0.9,0.02,103.0,83.0,234.0,0.18,105.75
열무김치,100g,36.0,5.87,2.39,0.38,0.68,353.0,44.0,583.0,0.06,0.0
열무김치국수,800g,54.0,8.7,1.88,1.28,2.33,109.0,23.0,376.0,0.08,1.92
열무비빔밥,600ml,84.0,16.86,2.5,0.51,0.61,89.0,34.0,112.0,0.17,1.94
열무얼갈이김치,50g,35.0,5.22,2.15,0.66,0.91,308.0,41.0,680.0,0.08,2.07
오리불고기,250g,145.0,9.05,6.75,9.05,6.29,302.0,94.0,467.0,2.04,31.13
오리탕,600g,121.0,6.08,9.5,6.56,3.58,297.0,120.0,317.0,1.33,38.47
오므라이스,400g,173.0,20.54,6.5,7.23,3.19,163.0,93.0,433.0,1.38,86.99
오삼불고기,200.0,356.93600000000004,21.462,23.348,20.238,7.423999999999999,634.996,307.85,870.4,,164.3
오이생채,50g,69.0,8.96,1.78,2.9,8.04,254.0,52.0,474.0,0.14,0.0
오이소박이,100g,37.0,6.66,1.76,0.37,3.17,283.0,40.0,302.0,0.08,0.0
오이지,50g,21.0,2.84,0.74,0.72,0.0,163.0,25.0,2050.0,0.04,0.0
오이피클,50.0,54.0,14.642,0.304,0.152,1.992,27.32,4.06,333.6,,0.0
오일소스스파게티,395ml,138.0,21.11,4.1,3.95,1.42,148.0,60.0,52.0,0.97,4.0
오징어국,500g,18.0,0.73,2.22,0.73,0.24,82.0,36.0,257.0,0.08,31.88
오징어덮밥,708.2,65.0,11.88,3.3,0.25,0.95,93.0,48.0,51.0,0.07,27.47
